Condition_ID,MLE_Mean_Score,MLE_STD_Score
D1_1-D2_2-C_1,4.2200647810828205,0.4654784863384391
D1_1-D2_2-C_10,1.6042949251210759,0.35104656070392154
D1_1-D2_2-C_11,4.202607639891939,0.40510476590450956
D1_1-D2_2-C_2,4.095738758049754,0.591093416845599
D1_1-D2_2-C_3,4.257990490619971,0.4613986708159026
D1_1-D2_2-C_4,4.247246018866417,0.5000213776136108
D1_1-D2_2-C_5,3.927645632922478,0.5848657139125326
D1_1-D2_2-C_6,3.9165089252339094,0.5987142721164295
D1_1-D2_2-C_7,4.090310293799141,0.7223602126345076
D1_1-D2_2-C_8,4.221934272448624,0.3824198560003362
D1_1-D2_2-C_9,4.248853643267671,0.3504022823197174
D1_1-D2_3-C_1,3.1447348077164134,0.7278342998293402
D1_1-D2_3-C_10,1.7783607522307263,0.1906612454422117
D1_1-D2_3-C_11,2.996127850185396,0.6582913268097966
D1_1-D2_3-C_2,3.4757245830128234,0.733999010397384
D1_1-D2_3-C_3,2.5520539817620125,0.6676629066947305
D1_1-D2_3-C_4,2.8861685919318067,0.626102836225455
D1_1-D2_3-C_5,2.951019072576949,0.6417820763172833
D1_1-D2_3-C_6,3.215602138430807,0.4960376404157232
D1_1-D2_3-C_7,2.706741694421748,0.635308020548609
D1_1-D2_3-C_8,2.9776585335587877,0.487314492467021
D1_1-D2_3-C_9,2.5863783548914054,0.6498138677642237
D1_1-D2_4-C_1,4.260567312179647,0.33384256535757945
D1_1-D2_4-C_10,1.780068959864841,0.45685053740969894
D1_1-D2_4-C_11,4.289485842504369,0.3886548426044516
D1_1-D2_4-C_3,4.049211864913532,0.5802323939885693
D1_1-D2_4-C_4,3.7872038305724236,0.5286330654717268
D1_1-D2_4-C_6,3.8921135711937427,0.5768566419918679
D1_1-D2_4-C_7,4.365650227306623,0.4051740998895891
D1_1-D2_4-C_8,4.286559558139738,0.3573802513361869
D1_1-D2_4-C_9,4.289811362881094,0.32719967767050856
D1_2-D2_3-C_1,2.7618901435787238,0.6251939188275945
D1_2-D2_3-C_10,2.7596558382039107,0.6459921528447835
D1_2-D2_3-C_11,2.895758943313954,0.7890162334994678
D1_2-D2_3-C_2,3.435604801622748,0.5300336185652574
D1_2-D2_3-C_3,3.0195727518926536,0.5353002985642387
D1_2-D2_3-C_4,3.134192574500938,0.7273393593020723
D1_2-D2_3-C_5,2.90606254893303,0.5236293578217694
D1_2-D2_3-C_6,3.3324744247585447,0.5429987968615043
D1_2-D2_3-C_7,2.5414943792454023,0.6098785920010459
D1_2-D2_3-C_8,2.9159794429483434,0.5790369960057007
D1_2-D2_3-C_9,2.837503681429788,0.6742880774942571
D1_2-D2_4-C_1,4.118528607334678,0.6358773288206628
D1_2-D2_4-C_10,4.066130539374365,0.5674087726147472
D1_2-D2_4-C_11,4.461572925432139,0.27494519022515596
D1_2-D2_4-C_3,4.1649814028775545,0.3747191798923472
D1_2-D2_4-C_4,4.147856164853747,0.3743283895467572
D1_2-D2_4-C_6,4.2153207370853565,0.37535157019759946
D1_2-D2_4-C_7,4.196072063462473,0.38603628581144195
D1_2-D2_4-C_8,4.267376497079104,0.4513924424843209
D1_2-D2_4-C_9,4.145457929442224,0.38205886411858
D1_3-D2_4-C_1,2.7716242795908936,0.5738183256735091
D1_3-D2_4-C_10,2.616968515274426,0.40413080595279055
D1_3-D2_4-C_11,2.74009612743421,0.4829080911203192
D1_3-D2_4-C_3,3.030420641113225,0.4746586300949688
D1_3-D2_4-C_4,2.625970138007939,0.5686416546795297
D1_3-D2_4-C_6,3.0727729930289134,0.45170566977445903
D1_3-D2_4-C_7,2.3086440542722504,0.4314229030259058
D1_3-D2_4-C_8,2.638157830908532,0.605280152225576
D1_3-D2_4-C_9,2.779344872910647,0.33847937193764066
